SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1209 N Astor St Unit 8S,Chicago,IL,60610,1099000,3,2.5,CHI - Near North Side,2500,,1926,17,440,4582,Active,,,http://www.redfin.com/IL/Chicago/1209-N-Astor-St-60610/unit-8S/home/14123914,MRED,11231835,N,Y,41.9044896,-87.6267156
MLS Listing,,Condo/Co-op,1440 N Lake Shore Dr Unit 22ABCD,Chicago,IL,60610,995000,3,4.5,CHI - Near North Side,4800,,1965,17,207,4145,Active,,,http://www.redfin.com/IL/Chicago/1440-N-Lake-Shore-Dr-60610/unit-22ABCD/home/21628174,MRED,11231824,N,Y,41.9089622,-87.6266981
MLS Listing,,Condo/Co-op,1440 N Lake Shore Dr Unit 24A,Chicago,IL,60610,520000,3,2.5,CHI - Near North Side,1720,,1967,17,302,1604,Active,,,http://www.redfin.com/IL/Chicago/1440-N-Lake-Shore-Dr-60610/unit-24A/home/14125172,MRED,11231701,N,Y,41.9089622,-87.6266981
MLS Listing,,Condo/Co-op,1410 N State Pkwy Unit 5B,Chicago,IL,60610,869000,3,2.5,CHI - Near North Side,2000,,1980,17,435,1806,Active,,,http://www.redfin.com/IL/Chicago/1410-N-State-Pkwy-60610/unit-5B/home/14113633,MRED,11231541,N,Y,41.9082392,-87.6292406
MLS Listing,,Condo/Co-op,999 N Lake Shore Dr Unit 3A,Chicago,IL,60611,1300000,4,4.0,CHI - Near North Side,4000,,1912,18,325,7913,Active,,,http://www.redfin.com/IL/Chicago/999-N-Lake-Shore-Dr-60611/unit-3A/home/39967695,MRED,11230927,N,Y,41.9006861,-87.6200667
MLS Listing,,Condo/Co-op,1000 N Lake Shore Dr #2003,Chicago,IL,60611,179900,1,1.0,CHI - Near North Side,,,1953,18,,732,Active,,,http://www.redfin.com/IL/Chicago/1000-N-Lake-Shore-Dr-60611/unit-2003/home/14121754,MRED,11230901,N,Y,41.9012375,-87.6245855
MLS Listing,,Condo/Co-op,1325 N Astor St #13,Chicago,IL,60610,6999000,6,6.0,CHI - Near North Side,7900,,1928,18,886,8260,Active,,,http://www.redfin.com/IL/Chicago/1325-N-Astor-St-60610/unit-13/home/14126494,MRED,11225663,N,Y,41.9065926,-87.6272934
MLS Listing,,Condo/Co-op,1000 N Lake Shore Dr #2105,Chicago,IL,60611,475000,3,3.0,CHI - Near North Side,1800,,,21,264,1528,Active,,,http://www.redfin.com/IL/Chicago/1000-N-Lake-Shore-Dr-60611/unit-2105/home/14122197,MRED,11229291,N,Y,41.9012375,-87.6245855
MLS Listing,,Condo/Co-op,1221 N Dearborn Pkwy Unit 801N,Chicago,IL,60610,218900,1,1.0,CHI - Near North Side,719,,1972,21,304,544,Active,,,http://www.redfin.com/IL/Chicago/1221-N-Dearborn-St-60610/unit-801N/home/14111537,MRED,11229200,N,Y,41.9046835,-87.6296264
MLS Listing,,Condo/Co-op,21 W Goethe St Unit 18B,Chicago,IL,60610,395000,2,2.0,CHI - Near North Side,,,1962,22,,1048,Active,,,http://www.redfin.com/IL/Chicago/21-W-Goethe-St-60610/unit-18B/home/14112307,MRED,11228114,N,Y,41.9054585,-87.6296264
MLS Listing,,Condo/Co-op,1500 N Astor St #7,Chicago,IL,60610,1795000,3,2.5,CHI - Near North Side,3700,,1891,22,485,4507,Active,,,http://www.redfin.com/IL/Chicago/1500-N-Astor-St-60610/unit-7/home/14126442,MRED,11227963,N,Y,41.9097651,-87.6280645
MLS Listing,,Condo/Co-op,1415 N Dearborn St Unit 11C,Chicago,IL,60610,299000,2,2.0,CHI - Near North Side,1300,,1973,23,230,1103,Active,,,http://www.redfin.com/IL/Chicago/1415-N-Dearborn-St-60610/unit-11C/home/14114621,MRED,11226307,N,Y,41.908244,-87.629737
MLS Listing,,Condo/Co-op,1 E Scott St #404,Chicago,IL,60610,245000,1,1.0,CHI - Near North Side,,,,23,,725,Active,,,http://www.redfin.com/IL/Chicago/1-E-Scott-St-60610/unit-404/home/14124406,MRED,11215377,N,Y,41.9044611,-87.6282767
MLS Listing,,Condo/Co-op,1120 N Lake Shore Dr Unit 12C,Chicago,IL,60611,550000,2,2.0,CHI - Near North Side,1600,,1924,24,344,1918,Active,,,http://www.redfin.com/IL/Chicago/1120-N-Lake-Shore-Dr-60611/unit-12C/home/108272329,MRED,11225580,N,Y,41.9030623,-87.6250979
MLS Listing,,Condo/Co-op,1440 N State Pkwy Unit 19D,Chicago,IL,60610,799000,3,2.5,CHI - Near North Side,2200,,1974,24,363,1740,Active,,,http://www.redfin.com/IL/Chicago/1440-N-State-Pkwy-60610/unit-19D/home/14115350,MRED,11225549,N,Y,41.9089778,-87.6293563
MLS Listing,,Condo/Co-op,1445 N State Pkwy #1001,Chicago,IL,60610,179000,1,1.0,CHI - Near North Side,760,,1958,24,236,837,Active,,,http://www.redfin.com/IL/Chicago/1445-N-State-Pkwy-60610/unit-1001/home/14126068,MRED,11225101,N,Y,41.9091114,-87.6282751
MLS Listing,,Condo/Co-op,1110 N Lake Shore Dr Unit 7N,Chicago,IL,60611,599000,3,2.5,CHI - Near North Side,2100,,1970,24,285,2841,Active,,,http://www.redfin.com/IL/Chicago/1110-N-Lake-Shore-Dr-60611/unit-7N/home/14123722,MRED,11225015,N,Y,41.902836,-87.625043
MLS Listing,,Condo/Co-op,1040 N Lake Shore Dr Unit 15A,Chicago,IL,60611,2100000,3,3.5,CHI - Near North Side,2800,,1967,24,750,2832,Active,,,http://www.redfin.com/IL/Chicago/1040-N-Lake-Shore-Dr-60611/unit-15A/home/14123690,MRED,11224952,N,Y,41.9020249,-87.6246949
MLS Listing,,Condo/Co-op,1 E Scott St #2011,Chicago,IL,60610,139000,0,1.0,CHI - Near North Side,500,,1968,25,278,554,Active,,,http://www.redfin.com/IL/Chicago/1-E-Scott-St-60610/unit-2011/home/14125572,MRED,11224160,N,Y,41.9044611,-87.6282767
MLS Listing,,Condo/Co-op,229 E Lake Shore Dr Unit 10E,Chicago,IL,60611,1199000,4,4.0,CHI - Near North Side,3500,,1919,25,343,5171,Active,,,http://www.redfin.com/IL/Chicago/229-E-Lake-Shore-Dr-60611/unit-10E/home/56258783,MRED,11224081,N,Y,41.9006181,-87.6205294
MLS Listing,,Condo/Co-op,1150 N Lake Shore Dr Unit 20A,Chicago,IL,60611,420000,2,2.0,CHI - Near North Side,,,1957,25,,1517,Active,,,http://www.redfin.com/IL/Chicago/1150-N-Lake-Shore-Dr-60611/unit-20A/home/14123243,MRED,11204551,N,Y,41.903695,-87.625372
MLS Listing,,Condo/Co-op,26 E Scott St,Chicago,IL,60610,1150000,2,2.5,CHI - Near North Side,,,1921,25,,1812,Active,,,http://www.redfin.com/IL/Chicago/26-E-Scott-St-60610/Ph/home/176084172,MRED,11223872,N,Y,41.9051265,-87.6276428
MLS Listing,,Condo/Co-op,1540 N State Pkwy Unit 2B,Chicago,IL,60610,279500,2,2.0,CHI - Near North Side,1150,,1970,25,243,702,Active,,,http://www.redfin.com/IL/Chicago/1540-N-State-Pkwy-60610/unit-2B/home/14114727,MRED,11223778,N,Y,41.910666,-87.629243
MLS Listing,,Condo/Co-op,179 E Lake Shore Dr #502,Chicago,IL,60611,850000,2,2.0,Drake Tower,1852,,1928,28,459,2476,Active,,,http://www.redfin.com/IL/Chicago/179-E-Lake-Shore-Dr-60611/unit-502/home/105686188,MRED,11222685,N,Y,41.9006308,-87.6226581
MLS Listing,,Condo/Co-op,1515 N Astor St Unit 11B,Chicago,IL,60610,385000,2,2.0,CHI - Near North Side,1500,,1972,28,257,1725,Active,,,http://www.redfin.com/IL/Chicago/1515-N-Astor-St-60610/unit-11B/home/14126770,MRED,11222175,N,Y,41.9101306,-87.6271608
MLS Listing,,Condo/Co-op,1500 N Lake Shore Dr,Chicago,IL,60610,16900000,6,6.5,CHI - Near North Side,8000,,1927,28,2113,8207,Active,,,http://www.redfin.com/IL/Chicago/1500-N-Lake-Shore-Dr-60610/home/14126150,MRED,11222082,N,Y,41.9098168,-87.6269297
MLS Listing,,Condo/Co-op,1150 N Lake Shore Dr Unit 4F,Chicago,IL,60611,239900,1,1.0,CHI - Near North Side,850,,1958,29,282,821,Active,,,http://www.redfin.com/IL/Chicago/1150-N-Lake-Shore-Dr-60611/unit-4F/home/14123184,MRED,11218296,N,Y,41.903695,-87.625372
MLS Listing,,Condo/Co-op,990 N Lake Shore Dr Unit 31D,Chicago,IL,60611,795000,2,2.0,CHI - Near North Side,1550,,1972,29,513,1383,Active,,,http://www.redfin.com/IL/Chicago/990-N-Lake-Shore-Dr-60611/unit-31D/home/14120927,MRED,11221031,N,Y,41.9003001,-87.6201438
MLS Listing,,Condo/Co-op,1440 N Lake Shore Dr Unit 19BD,Chicago,IL,60610,843750,3,3.0,CHI - Near North Side,1875,,1965,29,450,1833,Active,,,http://www.redfin.com/IL/Chicago/1440-N-Lake-Shore-Dr-60610/unit-19B-D/home/167680427,MRED,11220981,N,Y,41.9089622,-87.6266981
